               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13031,             0.02555,                   0,            0.012923,               0.875,            0.069383,            0.024555,            0.037171,            0.015347,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.10729,            0.025062,                   0,           0.0096474,                   1,            0.076845,            0.028843,            0.026804,            0.014961,                   0,            0.088287,           0.0012871,           0.0012871
                   2,            0.096402,            0.026611,                   0,              0.6425,                0.25,             0.34856,             0.15093,            0.026812,            0.013538,                   0,             0.08196,           0.0019604,           0.0019604
                   3,            0.075504,            0.027336,                   0,             0.22162,               0.625,             0.58078,             0.25489,            0.025106,            0.012598,                   0,             0.07562,           0.0026198,           0.0026198
                   4,            0.069095,            0.029195,                   0,             0.50341,             0.50766,             0.72729,             0.43774,            0.021639,            0.011359,                   0,            0.069265,           0.0032654,           0.0032654
                   5,            0.063745,            0.027007,                   0,             0.77941,                0.75,             0.81661,             0.45612,             0.01852,             0.01231,                   0,            0.062897,            0.003897,            0.003897
                   6,            0.052215,            0.023719,                   0,              0.5647,                 0.5,              0.6681,             0.24724,             0.02637,            0.012181,                   0,            0.056515,           0.0045149,           0.0045149
                   7,            0.053838,            0.023094,                   0,              0.3959,             0.65709,             0.54287,             0.25629,            0.029167,            0.013279,                   0,            0.050119,           0.0051188,           0.0051188
                   8,            0.062967,            0.020519,                   0,             0.65458,             0.95016,             0.86314,             0.55839,            0.024588,            0.009731,                   0,            0.043709,            0.005709,            0.005709
                   9,            0.057028,            0.019722,                   0,             0.96658,               0.875,               0.955,             0.59607,            0.019751,           0.0077286,                   0,            0.037285,           0.0062852,           0.0062852
                  10,            0.050686,             0.02044,                   0,                   1,             0.80972,             0.96227,             0.47558,            0.022718,           0.0065381,                   0,            0.030848,           0.0068476,           0.0068476
                  11,            0.058834,             0.02034,                   0,             0.88664,             0.97977,             0.96722,              0.5704,            0.014426,           0.0062123,                   0,            0.024396,           0.0073961,           0.0073961
                  12,             0.05585,            0.022078,                   0,             0.81103,                   1,             0.91167,             0.53636,            0.017449,           0.0056514,                   0,            0.017931,           0.0079308,           0.0079308
                  13,            0.048127,            0.020166,                   0,             0.97851,                   1,               0.995,             0.57269,            0.013796,           0.0053792,                   0,            0.011452,           0.0084516,           0.0084516
                  14,            0.062656,            0.017981,                   0,             0.69819,               0.875,             0.82433,             0.35516,            0.022402,           0.0051598,                   0,            0.008614,            0.008614,            0.008614
                  15,            0.058723,            0.018168,                   0,             0.45589,                0.75,              0.6175,             0.30827,            0.018363,           0.0050121,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.060646,            0.019902,                   0,             0.59712,             0.92875,             0.78907,             0.41439,            0.015249,           0.0053554,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.050266,            0.020753,                   0,             0.87787,             0.90084,             0.98167,             0.54966,            0.016487,           0.0049225,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.046809,             0.01867,                   0,             0.99852,               0.875,               0.955,             0.51677,            0.015314,            0.005468,                   0,            0.008317,            0.008317,            0.008317
