               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072029,            0.030307,                   0,             0.41055,                 0.3,             0.30875,             0.11475,            0.044026,            0.014589,                   0,            0.070682,           0.0032576,           0.0032576
                   1,            0.044333,            0.022203,                   0,             0.41391,                 0.7,             0.50051,             0.22296,            0.043723,           0.0074453,                   0,            0.040551,           0.0064604,           0.0064604
                   2,              0.0425,            0.017253,                   0,             0.72041,                0.55,             0.76573,             0.51734,            0.032183,           0.0055215,                   0,            0.010289,           0.0095312,           0.0095312
                   3,            0.039461,            0.015895,                   0,             0.50571,               0.775,             0.60015,             0.37838,            0.030984,           0.0048072,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.033861,            0.014548,                   0,             0.72879,                 0.8,             0.75693,             0.35249,            0.025898,           0.0043178,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.031718,            0.013703,                   0,             0.74258,               0.875,             0.82313,             0.37759,            0.026121,           0.0040268,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.030197,            0.012685,                   0,             0.80913,               0.975,             0.94632,              0.7662,            0.024225,           0.0050873,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.027655,            0.011767,                   0,              0.8191,             0.79253,             0.88932,             0.68524,            0.020289,           0.0032672,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.024893,            0.012142,                   0,             0.89081,               0.975,             0.93487,             0.65675,            0.012897,           0.0038499,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.028894,            0.010929,                   0,             0.99469,               0.975,             0.99405,             0.83312,             0.01832,           0.0027939,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.023884,            0.011073,                   0,             0.99747,                   1,               0.995,             0.77511,            0.015587,           0.0025366,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.024597,            0.011063,                   0,             0.99655,                   1,               0.995,              0.8383,            0.011062,           0.0028312,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.023572,             0.01039,                   0,             0.97224,                   1,             0.99451,               0.442,            0.013404,           0.0028201,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.021517,            0.010001,                   0,             0.99786,                   1,               0.995,             0.82814,            0.010145,           0.0027815,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.020671,            0.010229,                   0,              0.9974,                   1,               0.995,             0.85521,            0.011246,            0.002477,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.019716,           0.0093981,                   0,             0.99621,                   1,               0.995,             0.83696,            0.010595,           0.0027636,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.020139,           0.0094354,                   0,             0.99801,                   1,               0.995,             0.75378,             0.01159,           0.0023177,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.018335,           0.0089307,                   0,             0.99826,                   1,               0.995,             0.86549,            0.010031,           0.0021465,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.020887,           0.0093195,                   0,             0.99821,                   1,               0.995,             0.85102,            0.013511,           0.0022687,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.01635,            0.008341,                   0,             0.99854,                   1,               0.995,             0.88022,           0.0075981,           0.0021074,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.01514,            0.008835,                   0,             0.99865,                   1,               0.995,             0.71423,            0.010442,           0.0019774,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.015262,           0.0091106,                   0,             0.99858,                   1,               0.995,             0.78597,           0.0093027,           0.0021497,                   0,             0.00604,             0.00604,             0.00604
                  22,              0.0162,           0.0083556,                   0,             0.99819,                   1,               0.995,             0.88073,           0.0086671,            0.002222,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.014713,           0.0084019,                   0,             0.99844,                   1,               0.995,             0.83496,           0.0092113,           0.0023633,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.015796,           0.0085219,                   0,             0.99818,                   1,               0.995,             0.85343,           0.0078954,           0.0019335,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.015293,           0.0082519,                   0,             0.99828,                   1,               0.995,             0.84415,           0.0085008,           0.0021189,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.012823,           0.0083587,                   0,             0.99826,                   1,               0.995,             0.88208,           0.0070508,           0.0019353,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.014261,           0.0081166,                   0,             0.99847,                   1,               0.995,             0.90979,            0.007081,           0.0018725,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.016055,           0.0080972,                   0,             0.99818,                   1,               0.995,              0.9061,           0.0056819,            0.002389,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.012367,           0.0074804,                   0,             0.99847,                   1,               0.995,             0.86187,           0.0086192,           0.0027029,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.013432,           0.0075311,                   0,             0.99859,                   1,               0.995,             0.81561,           0.0074685,           0.0023068,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.012617,           0.0076737,                   0,             0.99832,                   1,               0.995,             0.89825,           0.0088987,           0.0024024,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.014258,           0.0073435,                   0,             0.99846,                   1,               0.995,             0.88688,           0.0063892,           0.0021755,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.014345,           0.0071235,                   0,             0.99861,                   1,               0.995,             0.90336,           0.0073399,           0.0018514,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.011313,            0.007484,                   0,             0.99851,                   1,               0.995,             0.91807,           0.0064892,           0.0021329,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.012214,           0.0072529,                   0,             0.99865,                   1,               0.995,             0.91926,           0.0060441,           0.0021217,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.012828,           0.0073115,                   0,             0.99845,                   1,               0.995,             0.88855,           0.0059119,           0.0021245,                   0,             0.00307,             0.00307,             0.00307
